company_name,website,email,source
Staffbase,www.staffbase.com,hello@staffbase.com,manual
Beekeeper,www.beekeeper.io,hello@beekeeper.io,manual
Flip,www.flipapp.de,hello@flipapp.de,manual
Kenjo,www.kenjo.io,hello@kenjo.io,manual
HROne,www.hrone.de,hello@hrone.de,manual
Clockodo,www.clockodo.com,hello@clockodo.com,manual
Timetac,www.timetac.com,hello@timetac.com,manual
Saucecode,www.saucecode.io,hello@saucecode.io,manual
Sastrify,www.sastrify.com,hello@sastrify.com,manual
Substly,www.substly.com,hello@substly.com,manual
Talon.One,www.talon.one,hello@talon.one,manual
Voucherify,www.voucherify.io,hello@voucherify.io,manual
Gameserver,www.gameserver.gmbh,hello@gameserver.gmbh,manual
Gridly,www.gridly.com,hello@gridly.com,manual
Innoloft,www.innoloft.com,hello@innoloft.com,manual
Aivy,www.aivy.io,hello@aivy.io,manual
FinCompare,www.fincompare.de,hello@fincompare.de,manual
Configuro,www.configuro.io,hello@configuro.io,manual
DeepOpinion,www.deepopinion.ai,hello@deepopinion.ai,manual
Echometer,www.echometerapp.com,hello@echometerapp.com,manual
Flowpilot,www.flowpilot.de,hello@flowpilot.de,manual
Getquantify,www.getquantify.com,hello@getquantify.com,manual
Incred,www.incred.de,hello@incred.de,manual
Inspyro,www.inspyro.de,hello@inspyro.de,manual
Jiminny,www.jiminny.com,hello@jiminny.com,manual
Kian,www.kian.digital,hello@kian.digital,manual
Motatos,www.motatos.de,hello@motatos.de,manual
Nevaly,www.nevaly.com,hello@nevaly.com,manual
Outfittery,www.outfittery.de,hello@outfittery.de,manual
Prevue,www.prevue.it,hello@prevue.it,manual
Qatalog,www.qatalog.com,hello@qatalog.com,manual
Rentcard,www.rentcard.io,hello@rentcard.io,manual
Sastrify,www.sastrify.com,hello@sastrify.com,manual
Scalable,www.scalable.com,hello@scalable.com,manual
Signaturs,www.signaturs.com,hello@signaturs.com,manual
Smallpdf,www.smallpdf.com,hello@smallpdf.com,manual
Staffomatic,www.staffomatic.de,hello@staffomatic.de,manual
Styla,www.styla.com,hello@styla.com,manual
Talometrix,www.talometrix.com,hello@talometrix.com,manual
Tenzo,www.tenzo.ai,hello@tenzo.ai,manual
Tickera,www.tickera.com,hello@tickera.com,manual
Timebutler,www.timebutler.de,hello@timebutler.de,manual
Trakti,www.trakti.com,hello@trakti.com,manual
Vaayu,www.vaayu.tech,hello@vaayu.tech,manual
Workpath,www.workpath.com,hello@workpath.com,manual
Y42,www.y42.com,hello@y42.com,manual
Zenloop,www.zenloop.com,hello@zenloop.com,manual
Zignyl,www.zignyl.com,hello@zignyl.com,manual
cosuno,www.cosuno.de,hello@cosuno.de,manual
Filestage,www.filestage.io,hello@filestage.io,manual
Inxmail,www.inxmail.de,hello@inxmail.de,manual
JustRelate,www.justrelate.com,hello@justrelate.com,manual
Briive,www.briive.io,hello@briive.io,manual
Dingdone,www.dingdone.com,hello@dingdone.com,manual
Saasido,www.saasido.de,hello@saasido.de,manual
