company_name,website,email,source
Celonis,www.celonis.com,info@celonis.com,manual
Personio,www.personio.de,info@personio.de,manual
Contentful,www.contentful.com,info@contentful.com,manual
N26,www.n26.com,support@n26.com,manual
Babbel,www.babbel.com,help@babbel.com,manual
Staffbase,www.staffbase.com,info@staffbase.com,manual
Sennder,www.sennder.com,info@sennder.com,manual
Adjust,www.adjust.com,info@adjust.com,manual
Signavio,www.signavio.com,info@signavio.com,manual
Candis,www.candis.io,hello@candis.io,manual
Templafy,www.templafy.com,info@templafy.com,manual
Friday,www.friday.de,info@friday.de,manual
Rasa,www.rasa.com,contact@rasa.com,manual
Choco,www.choco.com,hello@choco.com,manual
Flink,www.goflink.com,hello@goflink.com,manual
Data Guard,www.dataguard.de,info@dataguard.de,manual
Abatable,www.abatable.com,hello@abatable.com,manual
Merantix,www.merantix.com,hello@merantix.com,manual
Zeitgold,www.zeitgold.com,info@zeitgold.com,manual
7Learnings,www.7learnings.com,info@7learnings.com,manual
Airbank,www.airbank.de,hello@airbank.de,manual
Circula,www.circula.com,hello@circula.com,manual
CoachHub,www.coachhub.com,info@coachhub.com,manual
Compeon,www.compeon.de,hello@compeon.de,manual
Demodesk,www.demodesk.com,hello@demodesk.com,manual
FinCompare,www.fincompare.de,hello@fincompare.de,manual
Frachtraum,www.frachtraum.de,info@frachtraum.de,manual
Fraugster,www.fraugster.com,hello@fraugster.com,manual
GraphCMS,hygraph.com,hello@hygraph.com,manual
HiringPlan,www.hiringplan.io,hello@hiringplan.io,manual
Keeeb,www.keeeb.com,hello@keeeb.com,manual
Klaaryo,www.klaaryo.com,hello@klaaryo.com,manual
Kolibri Games,www.kolibrigames.com,hello@kolibrigames.com,manual
Kooky,www.kooky.io,hello@kooky.io,manual
Lanch,www.lanch.io,hello@lanch.io,manual
Navina,www.navina.ai,hello@navina.ai,manual
OptioPay,www.optiopay.com,hello@optiopay.com,manual
Overleaf,www.overleaf.com,support@overleaf.com,manual
PlanRadar,www.planradar.com,info@planradar.com,manual
Presize,www.presize.ai,hello@presize.ai,manual
Productsup,www.productsup.com,hello@productsup.com,manual
Reonic,www.reonic.de,hello@reonic.de,manual
ServicePartnerOne,www.servicepartner.one,hello@servicepartner.one,manual
Shift说是,www.shiftplanning.de,hello@shiftplanning.de,manual
Smacc,www.smacc.io,hello@smacc.io,manual
Sprinte,www.sprinte.de,hello@sprinte.de,manual
Taxdoo,www.taxdoo.com,hello@taxdoo.com,manual
Tripoly,www.tripoly.de,hello@tripoly.de,manual
Vay,www.vay.ai,hello@vay.ai,manual
Wunder,www.wunder.ai,hello@wunder.ai,manual
Beekeeper,www.beekeeper.io,hello@beekeeper.io,manual
Flip,www.flipapp.de,hello@flipapp.de,manual
Kenjo,www.kenjo.io,hello@kenjo.io,manual
HROne,www.hrone.de,hello@hrone.de,manual
Clockodo,www.clockodo.com,hello@clockodo.com,manual
Timetac,www.timetac.com,hello@timetac.com,manual
Saucecode,www.saucecode.io,hello@saucecode.io,manual
Sastrify,www.sastrify.com,hello@sastrify.com,manual
Substly,www.substly.com,hello@substly.com,manual
Talon.One,www.talon.one,hello@talon.one,manual
Voucherify,www.voucherify.io,hello@voucherify.io,manual
Gameserver,www.gameserver.gmbh,hello@gameserver.gmbh,manual
Gridly,www.gridly.com,hello@gridly.com,manual
Innoloft,www.innoloft.com,hello@innoloft.com,manual
Aivy,www.aivy.io,hello@aivy.io,manual
Configuro,www.configuro.io,hello@configuro.io,manual
DeepOpinion,www.deepopinion.ai,hello@deepopinion.ai,manual
Echometer,www.echometerapp.com,hello@echometerapp.com,manual
Flowpilot,www.flowpilot.de,hello@flowpilot.de,manual
Getquantify,www.getquantify.com,hello@getquantify.com,manual
Incred,www.incred.de,hello@incred.de,manual
Inspyro,www.inspyro.de,hello@inspyro.de,manual
Jiminny,www.jiminny.com,hello@jiminny.com,manual
Kian,www.kian.digital,hello@kian.digital,manual
Motatos,www.motatos.de,hello@motatos.de,manual
Nevaly,www.nevaly.com,hello@nevaly.com,manual
Outfittery,www.outfittery.de,hello@outfittery.de,manual
Prevue,www.prevue.it,hello@prevue.it,manual
Qatalog,www.qatalog.com,hello@qatalog.com,manual
Rentcard,www.rentcard.io,hello@rentcard.io,manual
Scalable,www.scalable.com,hello@scalable.com,manual
Signaturs,www.signaturs.com,hello@signaturs.com,manual
Smallpdf,www.smallpdf.com,hello@smallpdf.com,manual
Staffomatic,www.staffomatic.de,hello@staffomatic.de,manual
Styla,www.styla.com,hello@styla.com,manual
Talometrix,www.talometrix.com,hello@talometrix.com,manual
Tenzo,www.tenzo.ai,hello@tenzo.ai,manual
Tickera,www.tickera.com,hello@tickera.com,manual
Timebutler,www.timebutler.de,hello@timebutler.de,manual
Trakti,www.trakti.com,hello@trakti.com,manual
Vaayu,www.vaayu.tech,hello@vaayu.tech,manual
Workpath,www.workpath.com,hello@workpath.com,manual
Y42,www.y42.com,hello@y42.com,manual
Zenloop,www.zenloop.com,hello@zenloop.com,manual
Zignyl,www.zignyl.com,hello@zignyl.com,manual
cosuno,www.cosuno.de,hello@cosuno.de,manual
Filestage,www.filestage.io,hello@filestage.io,manual
Inxmail,www.inxmail.de,hello@inxmail.de,manual
JustRelate,www.justrelate.com,hello@justrelate.com,manual
Briive,www.briive.io,hello@briive.io,manual
