campaign,search_term,impressions,clicks,cost,conversions,ctr
KP Search DE 20260306,addison datev export,1,0,0.0,0.0,0.0
KP Search DE 20260306,addison datev import,3,0,0.0,0.0,0.0
KP Search DE 20260306,addison datev schnittstelle,1,0,0.0,0.0,0.0
KP Search DE 20260306,addison export nach datev,2,1,1.85,0.0,50.0
KP Search DE 20260306,agenda export nach datev,1,0,0.0,0.0,0.0
KP Search DE 20260306,amainvoice alternative,1,0,0.0,0.0,0.0
KP Search DE 20260306,ascii daten importieren datev,1,0,0.0,0.0,0.0
KP Search DE 20260306,ascii import datev,2,0,0.0,0.0,0.0
KP Search DE 20260306,bankstatementconverter,1,0,0.0,0.0,0.0
KP Search DE 20260306,belege hochladen datev,2,0,0.0,0.0,0.0
KP Search DE 20260306,belege hochladen datev unternehmen online,2,1,2.0,0.0,50.0
KP Search DE 20260306,belegtransfer datev,1,0,0.0,0.0,0.0
KP Search DE 20260306,buchführung soll,2,0,0.0,0.0,0.0
KP Search DE 20260306,buchungsschlüssel 94 datev,2,0,0.0,0.0,0.0
KP Search DE 20260306,buchungsschlüssel datev übersicht,2,0,0.0,0.0,0.0
KP Search DE 20260306,buchungsunterlagen,4,1,1.95,0.0,25.0
KP Search DE 20260306,ckonverter de,1,0,0.0,0.0,0.0
KP Search DE 20260306,csv in mt940 umwandeln,2,0,0.0,0.0,0.0
KP Search DE 20260306,datenübernahme addison nach datev,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev,5,0,0.0,0.0,0.0
KP Search DE 20260306,datev app herunterladen,3,0,0.0,0.0,0.0
KP Search DE 20260306,datev ascii export,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev ascii import,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev ascii import vorlage,4,0,0.0,0.0,0.0
KP Search DE 20260306,datev belege hochladen,3,0,0.0,0.0,0.0
KP Search DE 20260306,datev belegtransfer xml schnittstelle,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev datei,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev dateiformat,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev demo prüfung,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev düsseldorf,2,0,0.0,0.0,0.0
KP Search DE 20260306,datev export format,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev extf format,2,0,0.0,0.0,0.0
KP Search DE 20260306,datev fehler 403,3,0,0.0,0.0,0.0
KP Search DE 20260306,datev format,5,0,0.0,0.0,0.0
KP Search DE 20260306,datev format csv beispiel,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev gdpdu export,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev handbuch 2025,2,0,0.0,0.0,0.0
KP Search DE 20260306,datev hardware empfehlung,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev konto apps datev,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev online üben,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev postversandformat,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev pro format,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev prüfung online,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev schnittstelle,4,0,0.0,0.0,0.0
KP Search DE 20260306,datev steuerschlüssel tabelle 2025,1,0,0.0,0.0,0.0
KP Search DE 20260306,datev telefonnummer,1,0,0.0,0.0,0.0
